timestamp,frame_number,object_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,zone_violation,zone_name,track_length,movement_status
2025-09-27T14:03:03.090466,69,,person,0.9511986970901489,150,198,510,479,0,0,False,,0,
2025-09-27T14:03:03.741671,70,,person,0.9505941271781921,150,198,509,479,0,0,False,,0,
2025-09-27T14:03:04.201192,71,,person,0.9503970146179199,150,198,509,479,0,0,False,,0,
2025-09-27T14:03:04.752906,72,,person,0.949381411075592,151,198,509,479,0,0,False,,0,
2025-09-27T14:03:05.406099,73,,person,0.9475084543228149,151,198,509,479,0,0,False,,0,
2025-09-27T14:03:05.947154,74,,person,0.9493076205253601,151,198,508,479,0,0,False,,0,
2025-09-27T14:03:06.472037,75,,person,0.9489771723747253,150,199,507,479,0,0,False,,0,
2025-09-27T14:03:07.216016,76,,person,0.9506776928901672,151,200,509,479,0,0,False,,0,
2025-09-27T14:03:07.763091,77,,person,0.9515419006347656,162,200,510,479,0,0,False,,0,
2025-09-27T14:03:08.282249,78,,person,0.9487327933311462,146,200,511,479,0,0,False,,0,
2025-09-27T14:03:08.902845,79,,person,0.9522899389266968,151,202,511,479,0,0,False,,0,
2025-09-27T14:03:09.626565,80,,person,0.9515811204910278,147,202,512,479,0,0,False,,0,
2025-09-27T14:03:10.128778,81,,person,0.9546877145767212,148,203,512,479,0,0,False,,0,
2025-09-27T14:03:10.893089,82,,person,0.9475640058517456,146,204,510,479,0,0,False,,0,
2025-09-27T14:03:11.638028,83,,person,0.9569208025932312,149,208,509,479,0,0,False,,0,
2025-09-27T14:03:12.120574,84,,person,0.9497688412666321,151,215,507,479,0,0,False,,0,
2025-09-27T14:03:12.793336,85,,person,0.952563464641571,149,215,504,479,0,0,False,,0,
2025-09-27T14:03:13.459691,86,,person,0.9532989263534546,149,215,505,479,0,0,False,,0,
2025-09-27T14:03:13.980421,87,,person,0.9548312425613403,149,213,506,479,0,0,False,,0,
2025-09-27T14:03:14.576770,88,,person,0.9556723237037659,148,213,505,479,0,0,False,,0,
2025-09-27T14:03:15.200852,89,,person,0.9542701244354248,148,213,506,479,0,0,False,,0,
2025-09-27T14:03:15.793163,90,,person,0.9571310877799988,148,213,505,479,0,0,False,,0,
2025-09-27T14:03:16.234346,91,,person,0.9566161036491394,149,213,505,479,0,0,False,,0,
2025-09-27T14:03:16.842052,92,,person,0.9552399516105652,148,213,505,479,0,0,False,,0,
2025-09-27T14:03:17.947763,93,,person,0.9560922384262085,149,213,505,479,0,0,False,,0,
2025-09-27T14:03:18.512649,94,,person,0.9569128155708313,151,212,505,479,0,0,False,,0,
2025-09-27T14:03:19.195659,95,,person,0.9556099772453308,151,212,506,479,0,0,False,,0,
2025-09-27T14:03:19.817800,96,,person,0.9521534442901611,148,209,502,479,0,0,False,,0,
2025-09-27T14:03:20.194610,97,,person,0.951776385307312,147,207,499,479,0,0,False,,0,
2025-09-27T14:03:20.699966,98,,person,0.9509204030036926,145,205,499,479,0,0,False,,0,
2025-09-27T14:03:21.345046,99,,person,0.9484519362449646,143,202,498,479,0,0,False,,0,
2025-09-27T14:03:21.964168,100,,person,0.9416308403015137,141,199,498,479,0,0,False,,0,
2025-09-27T14:03:22.366904,101,,person,0.940617561340332,140,199,498,479,0,0,False,,0,
2025-09-27T14:03:22.734451,102,,person,0.9458999633789062,140,198,500,479,0,0,False,,0,
2025-09-27T14:03:23.334588,103,,person,0.9524106383323669,149,196,505,479,0,0,False,,0,
2025-09-27T14:03:23.897290,104,,person,0.9473186731338501,145,198,510,479,0,0,False,,0,
2025-09-27T14:03:24.227306,105,,person,0.954960286617279,147,202,502,479,0,0,False,,0,
2025-09-27T14:03:24.817954,106,,person,0.9564908146858215,148,203,501,479,0,0,False,,0,
2025-09-27T14:03:25.352312,107,,person,0.9589613080024719,148,204,502,479,0,0,False,,0,
2025-09-27T14:03:25.733696,108,,person,0.9545038938522339,147,207,510,479,0,0,False,,0,
2025-09-27T14:03:26.111109,109,,person,0.957911491394043,149,209,508,479,0,0,False,,0,
2025-09-27T14:03:26.870630,110,,person,0.9549742937088013,148,208,509,479,0,0,False,,0,
2025-09-27T14:03:27.432789,111,,person,0.9520732760429382,147,207,505,479,0,0,False,,0,
2025-09-27T14:03:27.908842,112,,person,0.9515011310577393,145,207,505,479,0,0,False,,0,
2025-09-27T14:03:28.352627,113,,person,0.9542944431304932,146,206,505,479,0,0,False,,0,
2025-09-27T14:03:28.742856,114,,person,0.9513281583786011,146,206,508,479,0,0,False,,0,
2025-09-27T14:03:29.125365,115,,person,0.9510464072227478,146,205,506,479,0,0,False,,0,
2025-09-27T14:03:29.456776,116,,person,0.9561105370521545,146,205,506,479,0,0,False,,0,
2025-09-27T14:03:29.847481,117,,person,0.9559939503669739,148,206,510,479,0,0,False,,0,
2025-09-27T14:03:30.102916,118,,person,0.9566023945808411,149,207,511,479,0,0,False,,0,
2025-09-27T14:03:30.549532,119,,person,0.9567327499389648,148,207,510,479,0,0,False,,0,
2025-09-27T14:03:31.122199,120,,person,0.9541304707527161,149,206,509,479,0,0,False,,0,
2025-09-27T14:03:31.475408,121,,person,0.9530683159828186,147,206,509,479,0,0,False,,0,
2025-09-27T14:03:31.929099,122,,person,0.9485149383544922,146,205,510,479,0,0,False,,0,
2025-09-27T14:03:32.444824,123,,person,0.945958137512207,145,204,508,479,0,0,False,,0,
2025-09-27T14:03:32.762644,124,,person,0.9503147602081299,145,204,508,479,0,0,False,,0,
2025-09-27T14:03:33.165390,125,,person,0.9533388614654541,145,204,507,479,0,0,False,,0,
2025-09-27T14:03:33.544485,126,,person,0.9524438381195068,145,205,507,479,0,0,False,,0,
2025-09-27T14:03:34.114817,127,,person,0.9526735544204712,145,204,505,479,0,0,False,,0,
2025-09-27T14:03:35.129652,128,,person,0.9525119662284851,145,204,506,479,0,0,False,,0,
2025-09-27T14:03:35.796275,129,,person,0.9522619843482971,146,204,507,479,0,0,False,,0,
2025-09-27T14:03:36.520712,130,,person,0.9507220983505249,146,204,506,479,0,0,False,,0,
2025-09-27T14:03:55.940892,1,,person,0.9504294395446777,145,204,507,479,0,0,False,,0,
